glyburide, glucovance, metformin	More Common	[Anxious feeling, behavior change similar to being drunk, blurred vision, cold sweats, confusion, convulsions (seizures), cool pale skin, cough, difficulty in concentrating, drowsiness, excessive hunger, fast heartbeat, fever, headache (continuing), nausea, nervousness, nightmares, restless sleep, shakiness, slurred speech, sneezing, sore throat, unconsciousness, unusual tiredness or weakness, Dizziness, headache, vomiting]	[anxious:Mental Processfeeling:Mental Process #  behavior:Clinical Attributechange:Functional Conceptdrunk:Mental or Behavioral Dysfunction #  blurred:Qualitative Conceptvision:Clinical Attribute #  cold:Disease or Syndromesweats:Finding #  confusion:Mental or Behavioral Dysfunction #  convulsions:Sign or Symptomseizures:Sign or Symptom #  cool:Qualitative Conceptpale:Qualitative Conceptskin:Disease or Syndrome #  cough:Sign or Symptom #  difficulty:Findingconcentrating:Biomedical or Dental Material #  drowsiness:Finding #  excessive:Qualitative Concepthunger:Sign or Symptom #  fast:Qualitative Conceptheartbeat:Organ or Tissue Function #  fever:Finding #  headache:Findingcontinuing:Idea or Concept #  nausea:Sign or Symptom #  nervousness:Sign or Symptom #  nightmares:Mental or Behavioral Dysfunction #  restless:Sign or Symptomsleep:Organic Chemical #  shakiness:Pathologic Function #  slurred:Findingspeech:Organism Function #  sneezing:Finding #  sore:Qualitative Conceptthroat:Body Part, Organ, or Organ Component #  unconsciousness:Finding #  unusual:Qualitative Concepttiredness:Sign or Symptomweakness:Sign or Symptom #  dizziness:Sign or Symptom #  headache:Finding #  vomiting:Sign or Symptom # ]
glyburide, glucovance, metformin	Less Common	[]	[]
glyburide, glucovance, metformin	Rare	[Abdominal or stomach discomfort, decreased appetite, diarrhea, fast shallow breathing, general feeling of discomfort, muscle pain or cramping, unusual sleepiness]	[abdominal:Body Location or Regionstomach:Therapeutic or Preventive Procedurediscomfort:Finding #  decreased:Qualitative Conceptappetite:Organism Function #  diarrhea:Finding #  fast:Qualitative Conceptbreathing:Organism Function #  general:Idea or Conceptfeeling:Mental Processdiscomfort:Finding #  muscle:Tissuepain:Functional Conceptcramping:Sign or Symptom #  unusual:Qualitative Conceptsleepiness:Finding # ]
glyburide, glucovance, metformin	Not Known	[]	[]
glyburide, glucovance, metformin	Overdose	[]	[]
sitagliptin, janumet, metformin	More Common	[Bloated, excess air or gas in the stomach or intestines, fever, full feeling, indigestion, lack or loss of strength, muscle aches, passing gas, sore throat, stuffy or runny nose, vomiting]	[bloated:Sign or Symptom #  excess:Qualitative Conceptair:Intellectual Productgas:Chemical Viewed Structurallystomach:Therapeutic or Preventive Procedureintestines:Body Part, Organ, or Organ Component #  fever:Finding #  full:Qualitative Conceptfeeling:Mental Process #  indigestion:Sign or Symptom #  lack:Qualitative Conceptloss:Quantitative Conceptstrength:Qualitative Concept #  muscle:Tissueaches:Sign or Symptom #  passing:Findinggas:Chemical Viewed Structurally #  sore:Qualitative Conceptthroat:Body Part, Organ, or Organ Component #  nose:Body Part, Organ, or Organ Component #  vomiting:Sign or Symptom # ]
sitagliptin, janumet, metformin	Less Common	[Anxiety, blurred vision, chills, cold sweats, confusion, cool, pale skin, depression, dizziness, fast heartbeat, headache, increased hunger, loss of consciousness, mental cloudiness, nausea, nightmares, not thinking clearly, seizures, shakiness, slurred speech, unusual tiredness or weakness]	[anxiety:Mental Process #  blurred:Qualitative Conceptvision:Clinical Attribute #  chills:Sign or Symptom #  cold:Disease or Syndromesweats:Finding #  confusion:Mental or Behavioral Dysfunction #  cool:Qualitative Conceptpale:Qualitative Conceptskin:Disease or Syndrome #  depression:Sign or Symptom #  dizziness:Sign or Symptom #  fast:Qualitative Conceptheartbeat:Organ or Tissue Function #  headache:Finding #  increased:Functional Concepthunger:Sign or Symptom #  loss:Quantitative Conceptconsciousness:Finding #  mental:Mental Process #  nausea:Sign or Symptom #  nightmares:Mental or Behavioral Dysfunction #  thinking:Mental Process #  seizures:Sign or Symptom #  shakiness:Pathologic Function #  slurred:Findingspeech:Organism Function #  unusual:Qualitative Concepttiredness:Sign or Symptomweakness:Sign or Symptom # ]
sitagliptin, janumet, metformin	Rare	[Abdominal or stomach discomfort, decreased appetite, diarrhea, fast, shallow breathing, general feeling of discomfort, muscle pain or cramping, shortness of breath, sleepiness]	[abdominal:Body Location or Regionstomach:Therapeutic or Preventive Procedurediscomfort:Finding #  decreased:Qualitative Conceptappetite:Organism Function #  diarrhea:Finding #  fast:Qualitative Conceptbreathing:Organism Function #  general:Idea or Conceptfeeling:Mental Processdiscomfort:Finding #  muscle:Tissuepain:Functional Conceptcramping:Sign or Symptom #  breath:Body Substance #  sleepiness:Finding # ]
sitagliptin, janumet, metformin	Not Known	[]	[]
sitagliptin, janumet, metformin	Overdose	[]	[]
